For radius 1.9615,38 in center,10 mm,,,,,,,Target Spacing (in),Measured Spacing (in),"Source (for your reference, not in final table)",
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,,38,38.125,"For radius 1.9615, 38 in center (row 1)",
1,58,0.90625,0.453125,38,4,38.125,,,38,37.78125,"For radius 1.9615, 38 in center (row 2)",
2,58,0.90625,0.453125,37,25,37.78125,,,38,37.75,"For radius 1.9615, 38 in center (row 3)",
3,58,0.90625,0.453125,37,24,37.75,,,38,37.75,"For radius 1.9615, 38 in center (row 4)",
4,58,0.90625,0.453125,37,24,37.75,,,38,38.203125,"For radius 1.9615, 38 in center (row 5)",
5,58,0.90625,0.453125,37,24,38.203125,,,38,38.0625,"For radius 1.956, 38 in center (row 1)",
6,,0,0,,,,,,38,38.0625,"For radius 1.956, 38 in center (row 2)",
,,,,,,,,,38,38.0625,"For radius 1.956, 38 in center (row 3)",
,,,,,,,,,38,38.0703125,"For radius 1.956, 38 in center (row 4)",
,,,,,,,,,38,38.09375,"For radius 1.956, 38 in center (row 5)",
For radius 1.956,38 in center,10 mm,,,,,,,40,40.0703125,"For radius 1.956, 40 in center (row 1)",
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,,40,40.2890625,"For radius 1.956, 40 in center (row 2)",
1,59,0.921875,0.4609375,38,2,38.0625,,,40,40.15625,"For radius 1.956, 40 in center (row 3)",
2,59,0.921875,0.4609375,38,2,38.0625,,,40,40.15625,"For radius 1.956, 40 in center (row 4)",
3,59,0.921875,0.4609375,38,2,38.0625,,,40,40.125,"For radius 1.956, 40 in center (row 5)",
4,59,0.921875,0.4609375,38,2,38.0703125,,,40,39.96875,"For radius 1.962, 40 in center (row 1)",
5,58,0.90625,0.453125,38,3,38.09375,,,40,40.0390625,"For radius 1.962, 40 in center (row 2)",
6,58,0.90625,0.453125,,,,,,40,39.8984375,"For radius 1.962, 40 in center (row 3)",
,,,,,,,,,40,40,"For radius 1.962, 40 in center (row 4)",
,,,,,,,,,40,40.0078125,"For radius 1.962, 40 in center (row 5)",
,,,,,,,,,40,40,"For radius 1.962, 40 in center (row 6)",
,,,,,,,,,40,39.7421875,"For radius 1.9746, 40 in center, 10mm (row 1)",
,,,,,,,,,40,39.65625,"For radius 1.9746, 40 in center, 10mm (row 2)",
,,,,,,,,,40,39.90625,"For radius 1.9746, 40 in center, 10mm (row 3)",
,,,,,,,,,40,39.71875,"For radius 1.9746, 40 in center, 10mm (row 4)",
,,,,,,,,,40,39.75585938,"For radius 1.9746, 40 in center, 10mm (row 5)",
,,,,,,,,,40,40,"For radius 1.9615, 40 in center, 10mm (row 1)",
,,,,,,,,,40,39.9609375,"For radius 1.9615, 40 in center, 10mm (row 2)",
,,,,,,,,,40,40.0390625,"For radius 1.9615, 40 in center, 10mm (row 3)",
,,,,,,,,,40,40.03125,"For radius 1.9615, 40 in center, 10mm (row 4)",
,,,,,,,,,40,40.03125,"For radius 1.9615, 40 in center, 10mm (row 5)",
,,,,,,,,,80,80.46875,"For radius 1.962, 80 in center (row 1)",
,,,,,,,,,80,80.4375,"For radius 1.962, 80 in center (row 2)",
,,,,,,,,,80,80.46875,"For radius 1.962, 80 in center (row 3)",
,,,,,,,,,80,80.15625,"For radius 1.973, 80 in center (row 1)",
,,,,,,,,,80,79.9921875,"For radius 1.973, 80 in center (row 2)",
,,,,,,,,,80,80.0625,"For radius 1.973, 80 in center (row 3)",
